space_order,time_tile_size,wf_x_width,wf_y_width,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss
4,8,32,32,256,256,256,256,2,1.37,3.33,88.13,3.15
4,8,32,32,256,512,256,256,1,2.71,3.36,89.1,3.19
4,8,32,32,256,512,256,256,2,2.71,3.36,89.1,3.19
4,8,32,32,256,256,512,256,1,2.64,3.36,91.47,3.27
4,8,32,32,256,256,512,256,2,2.64,3.36,91.47,3.27
4,8,32,32,256,512,512,512,1,12.44,3.41,77.64,2.78
4,8,32,32,256,512,512,512,2,12.29,3.41,78.59,2.81
4,8,32,32,512,256,256,256,1,2.74,3.34,87.96,3.15
4,8,32,32,512,256,256,256,2,2.73,3.34,88.28,3.16
4,8,32,64,256,256,256,256,1,1.33,3.33,90.78,3.25
4,8,32,64,256,256,256,256,2,1.31,3.33,92.16,3.3
4,8,32,64,256,512,256,256,1,2.41,3.36,100.19,3.58
4,8,32,64,256,512,256,256,2,2.41,3.36,100.19,3.58
4,8,32,64,256,256,512,256,1,2.37,3.36,101.89,3.64
4,8,32,64,256,256,512,256,2,2.35,3.36,102.75,3.67
4,8,32,64,256,512,512,512,1,11.56,3.41,83.55,2.99
4,8,32,64,256,512,512,512,2,11.61,3.41,83.19,2.98
4,8,32,64,512,256,256,256,1,2.61,3.34,92.34,3.3
4,8,32,64,512,256,256,256,2,2.72,3.34,88.6,3.17
4,8,64,32,256,256,256,256,1,1.34,3.33,90.1,3.22
4,8,64,32,256,256,256,256,2,1.34,3.33,90.1,3.22
4,8,64,32,256,512,256,256,1,2.52,3.36,95.82,3.43
4,8,64,32,256,512,256,256,2,2.41,3.36,100.19,3.58
4,8,64,32,256,256,512,256,1,2.53,3.36,95.44,3.41
4,8,64,32,256,256,512,256,2,2.53,3.36,95.44,3.41
4,8,64,32,256,512,512,512,1,11.52,3.41,83.84,3.0
4,8,64,32,256,512,512,512,2,11.56,3.41,83.55,2.99
4,8,64,32,512,256,256,256,1,2.59,3.34,93.05,3.33
4,8,64,32,512,256,256,256,2,2.59,3.34,93.05,3.33
4,8,64,64,256,256,256,256,1,1.12,3.33,107.8,3.85
4,8,64,64,256,256,256,256,2,1.12,3.33,107.8,3.85
4,8,64,64,256,512,256,256,1,2.11,3.36,114.44,4.09
4,8,64,64,256,512,256,256,2,2.18,3.36,110.77,3.96
4,8,64,64,256,256,512,256,1,2.15,3.36,112.31,4.02
4,8,64,64,256,256,512,256,2,2.15,3.36,112.31,4.02
4,8,64,64,256,512,512,512,1,10.19,3.41,94.79,3.39
4,8,64,64,256,512,512,512,2,10.2,3.41,94.69,3.39
4,8,64,64,512,256,256,256,1,2.23,3.34,108.07,3.86
4,8,64,64,512,256,256,256,2,2.23,3.34,108.07,3.86
4,8,64,128,256,256,256,256,1,1.03,3.33,117.22,4.19
4,8,64,128,256,256,256,256,2,1.04,3.33,116.09,4.15
4,8,64,128,256,512,256,256,1,2.05,3.36,117.79,4.21
4,8,64,128,256,512,256,256,2,2.05,3.36,117.79,4.21
4,8,64,128,256,256,512,256,1,2.03,3.36,118.95,4.25
4,8,64,128,256,256,512,256,2,2.04,3.36,118.37,4.23
4,8,64,128,256,512,512,512,1,9.72,3.41,99.37,3.55
4,8,64,128,256,512,512,512,2,9.72,3.41,99.37,3.55
4,8,64,128,512,256,256,256,1,2.06,3.34,116.99,4.18
4,8,64,128,512,256,256,256,2,2.06,3.34,116.99,4.18
